èoåªéûä‘,í‚é~éûä‘,íeî≠éÀéûä‘,ãAä“éûä‘,à⁄ìÆÉpÉ^Å[Éì,Çòç¿ïW,Çôç¿ïW,ìGÇÃéÌóﬁ,íeñãÇÃéÌóﬁ,ägëÂî{ó¶,ë¨ìx,HP,ÉAÉCÉeÉÄéÌóﬁ,ìñÇΩÇËîªíËîºåa
380,0,0,0,8,570,-32,0,99,2,4,1,2,18
400,0,0,0,8,570,-32,2,99,2,4,1,2,18
420,0,0,0,8,570,-32,0,99,2,4,1,2,18
440,0,0,0,8,570,-32,2,99,2,4,1,2,18
460,0,0,0,8,570,-32,0,99,2,4,1,2,18
500,0,0,0,9,670,572,2,99,2,4,1,2,18
520,0,0,0,9,670,572,0,99,2,4,1,2,18
540,0,0,0,9,670,572,2,99,2,4,1,2,18
560,0,0,0,9,670,572,0,99,2,4,1,2,18
580,0,0,0,9,670,572,2,99,2,4,1,2,18
700,0,740,0,8,570,-32,1,2,2,3,1,1,18
700,0,740,0,9,570,572,1,2,2,3,1,1,18
720,0,760,0,8,570,-32,0,2,2,3,1,0,18
720,0,760,0,9,570,572,0,2,2,3,1,0,18
740,0,780,0,8,570,-32,1,2,2,3,1,1,18
740,0,780,0,9,570,572,1,2,2,3,1,1,18
760,0,800,0,8,570,-32,0,2,2,3,1,0,18
760,0,800,0,9,570,572,0,2,2,3,1,0,18
780,0,820,0,8,570,-32,1,2,2,3,1,1,18
780,0,820,0,9,570,572,1,2,2,3,1,1,18
1100,0,1120,0,2,910,-32,2,1,2,4,1,2,18
1120,0,1140,0,3,860,572,2,1,2,4,1,2,18
1140,0,1160,0,2,910,-32,2,1,2,4,1,2,18
1160,0,1180,0,3,860,572,2,1,2,4,1,2,18
1180,0,1200,0,2,910,-32,2,1,2,4,1,2,18
1200,0,1220,0,3,860,572,2,1,2,4,1,2,18
1400,0,1480,1700,4,992,270,3,3,3,4,2,2,27
1400,0,1560,1700,4,992,270,99,3,3,4,2,0,27
1400,0,1640,1700,4,992,270,99,3,3,4,2,1,27
1400,0,1450,1700,4,992,270,99,0,3,4,2,2,27
1400,0,1460,1700,4,992,270,99,0,3,4,2,2,27
1400,0,1470,1700,4,992,270,99,0,3,4,2,1,27
1400,0,1530,1700,4,992,270,99,0,3,4,2,0,27
1400,0,1540,1700,4,992,270,99,0,3,4,2,0,27
1400,0,1550,1700,4,992,270,99,0,3,4,2,1,27
1400,0,1610,1700,4,992,270,99,0,3,4,2,2,27
1400,0,1620,1700,4,992,270,99,0,3,4,2,2,27
1400,0,1630,1700,4,992,270,99,0,3,4,2,1,27
